Company,Company Type,Job Type,Job Title,Job Location,Python Importance,Python Exclusivity,Alternatives,Posting Indicates Use,How is Python Used?,How is Python Classified?,Working with Large Datasets,Data Extraction,Data Analysis,Modeling,Machine Learning,Automation,Data Visualization,Salary (Low),Salary (High),Bonus,Screenshot
Goldman Sachs,Bank,Investment / Portfolio Management,"Asset & Wealth Management, Fixed Income Risk Economics, Analyst",India,Python Satisfies a Preference,Listed Among Alternatives,"SQL, Alteryx",0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1blJIGFXrkBYB1fgTlgHLHufw41x1DMF3/view?usp=drive_link
Goldman Sachs,Bank,Trading,"Global Banking & Markets, Commodities, West Physical Trader, Associate Houston",United States,Python Satisfies a Preference,Listed Among Alternatives,VBA,0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1TbxyWWSuthRSL2ot4_soGDedThvkIXEt/view?usp=drive_link
Goldman Sachs,Bank,Trading,"Global Banking & Markets, Commodities, West Physical Trader, Associate NY",United States,Python Satisfies a Preference,Listed Among Alternatives,VBA,0,N/A,N/A,,,,,,,,"$150,000 ","$225,000 ",1,https://drive.google.com/file/d/1-BbdxnGWLzTqH7AUfFtwSn-f9a5U0a-j/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Market Risk Management - E-Trading Risk Vice President,United States,Python Satisfies a Preference,Listed Among Alternatives,SQL or R ,0,N/A,"Programming Languages and Coding Techniques,",,,,,,,," 144,000,00 ","$238,000 ",0,https://drive.google.com/file/d/1qvmbBQYypPBjIE1eQa0RgLcIks2A_8Js/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk Management - Counterparty Credit Risk F&O - Associate,United States,Python Satisfies a Preference,Listed Among Alternatives,"VBA, SQL, Tableau",1,N/A,Modeling language,,,1,1,,,, N/A , N/A ,0,https://drive.google.com/file/d/14S7DlYgSzZzF5k-5KMyX47WsOGElnKEO/view?usp=drive_link
JPMorganChase,Bank,Research,Equity Research - Media - Associate,United States,Python Satisfies a Preference,Listed Among Alternatives,VBA,0,Coding,N/A,,,,,,,,"$150,000 ","$200,000 ",0,https://drive.google.com/file/d/1YAs7hWItpETz5_EnGjNXt_vLaxw8atac/view?usp=drive_link
JPMorganChase,Bank,Investment / Portfolio Management,Asset Management - Fixed Income Quantitative Researcher - Vice President,United States,Python Satisfies a Preference,Listed Among Alternatives,Matlab,0,N/A,N/A,,,,,,,,"$161,500 ","$285,000 ",0,https://drive.google.com/file/d/1NGSCTfbCeMhkO34b3e_dnNXTf57eAk9d/view?usp=drive_link
JPMorganChase,Bank,Other,Wholesale Portfolio Analytics - Industry Analytics Analyst,India,Python Satisfies a Preference,Listed Among Alternatives,"R, SQL, and other relevant technologies.",1,To manage and manipulate large datasets,Analytics and data tools,1,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1FepNjecbXIZCDT8v3J0i4RasrnYTBJEI/view?usp=drive_link
JPMorganChase,Bank,Research,2025 China Seasonal Internship Program - Research & Analytics, China,Python Satisfies a Preference,Listed Among Alternatives,VBA/SQL,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1bCTMVzbQJJHK5TsNXOO_I59x98gzs6Cj/view?usp=drive_link
JPMorganChase,Bank,Trading,Natural Gas Liquids Trader - Associate,United States,Python Satisfies a Preference,Listed Among Alternatives,"SQL, and/or other programming languages",0,N/A,Programming Language,,,,,,,,"$200,000 ","$285,000 ",0,https://drive.google.com/file/d/1FHOV0RWWcBrfMHm4fv8bTdcH0CS-SO0m/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk Management - Asset Management Alternatives Investment Risk - Vice President,United States,Python Satisfies a Preference,Listed Among Alternatives,"Alteryx, SQL & Tableau",1,N/A,Coding and data visualization tools,,,,,,,1,"$136,800 ","$215,000 ",0,https://drive.google.com/file/d/1yL7kElLgmJxXNu-z14-kvkMvu9bwL76e/view?usp=drive_link
JPMorganChase,Bank,Risk Management,"Risk - Asset Management - Multi Asset Solutions - Investment Risk Manager, Senior Associate",United States,Python Satisfies a Preference,Listed Among Alternatives,"Alteryx, SQL & Tableau",1,N/A,Coding and data visualization tools,,,,,,,1,"$84,550 ","$171,000 ",0,https://drive.google.com/file/d/1A0xE32rZbsQqnBf5z5MwLS2nYRU4XlkT/view?usp=drive_link
JPMorganChase,Bank,Risk Management,"Risk - Asset Wealth Management - Market Risk Coverage, Analyst",United States,Python Satisfies a Preference,Listed Among Alternatives,VBA,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1k7583wZLZyCJM2XTlUPVPTShC3Y_vk3N/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk Management - MIS Analytics - Senior Associate,United States,Python Satisfies a Preference,Listed Among Alternatives,"SAS, Tableau, and/or Alteryx",0,N/A,N/A,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1XQu-Cef8tkPfxWk-pOfyKSSqMbOboVNW/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Risk Management - Wealth Management Credit Forecasting Vice President,United States,Python Satisfies a Preference,Listed Among Alternatives,"SAS, SQL",0,N/A,Programming language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1dY7PxI6-9Ux4NaxVZ5T7bhaNkUNfMPYq/view?usp=drive_link
JPMorganChase,Bank,Trading,Global Credit - Automated Trading Strategies - Associate or Vice President,France,Python Satisfies a Preference,Listed Among Alternatives,Other programming languages,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1rYmxK3jUCuEbaY6nVfUBCUnCcPou3LWU/view?usp=drive_link
JPMorganChase,Bank,Trading,Global Credit - Automated Trading Strategies - Associate or Vice President,United Kingdom,Python Satisfies a Preference,Listed Among Alternatives,Other programming languages,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/12yHmbSC10dVqwhccc-gvbJFP1iRrCxcM/view?usp=drive_link
Toronto Dominion,Bank,Finance,Sr Reporting Automation Analyst,United States,Python Satisfies a Preference,Listed Among Alternatives,"VBA, R, SQL, SAS",0,N/A,N/A,,,,,,,,"$68,640 ","$112,320 ",1,https://drive.google.com/file/d/1DSgUnhMJRlb9PBXGp5L5bC7R8zvpilEG/view?usp=drive_link
Toronto Dominion,Bank,Risk Management,"Senior Market Risk Analyst (1668)
",Canada,Python Satisfies a Preference,Listed Among Alternatives,"VBA, SQL",1,To develop and continually improve the risk management infrastructure used to capture and analyze risk.,Programming Language,,,1,,,,,"$54,571 ","$81,856 ",1,https://drive.google.com/file/d/1_blRygP5s_NjJb7nobEYksG8xzgPWsdI/view?usp=drive_link
Toronto Dominion,Bank,Risk Management,Credit Risk Senior Manager - First Party Fraud & Credit Abuse,Canada,Python Satisfies a Preference,Listed Among Alternatives,"SAS, SQL, R, MATLAB, Tableau, etc.",0,N/A,N/A,,,,,,,,"$78,701 ","$127,104 ",1,https://drive.google.com/file/d/10Vu1tAbB7AaM7mCYEMHNkh4DMSzyVd3n/view?usp=drive_link
Toyota Motor,Other,Treasury,"Sr. Analyst, Treasury ALM and Analytics",United States,Python Satisfies a Preference,Listed Among Alternatives,"Excel, VBA, Tableau, Power BI, Snowflake, .Net, C#, etc.",1,"Develop, maintain and grow automated processes",N/A,,,,,,1,, N/A , N/A ,1,https://drive.google.com/file/d/1VtbH7g7g9TUshYPJ8yv6uPQSdbC9TJvn/view?usp=drive_link
Toyota Motor,Other,Treasury,"Manager, Treasury ALM and Analytics",United States,Python Satisfies a Preference,Listed Among Alternatives,VBA or other data analysis tools,1,N/A,Data analysis tools,,,1,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1Ptd3W53G5CviE_rqlF-ED4hRxVNLg_E8/view?usp=drive_link
UBS Group,Bank,Risk Management,AM Market Risk Analyst (US timezone),Poland,Python Satisfies a Preference,Listed Among Alternatives,"VBA, R",1,N/A,Automation tools,,,,,,1,, N/A , N/A ,0,https://drive.google.com/file/d/1cvJ0NCxAGdpZ9jY_Tt4RIAS8Y3hP6PY8/view?usp=drive_link
